goods,aprice,bprice,discount,url,availsize
TJ2 하이엔드,17800,46000,62,https://www.sdmall.com/detail/00ECB1,['80(2S)']
TJ2 포인트,22000,57000,62,https://www.sdmall.com/detail/00ECAD,"['80(2S)', '85(S)', '90(M)', '95(L)', '100(XL)']"
TJ2 하이엔드,22000,62000,65,https://www.sdmall.com/detail/00ECAC,"['80(2S)', '85(S)', '90(M)', '95(L)']"
아대 JK-12A,3600,4500,20,https://www.sdmall.com/detail/00AB7A,['여성']
아대 JK-04A,3600,4500,20,https://www.sdmall.com/detail/00AB72,['여성']
스팀펑크 포인트 블랙,22000,57000,62,https://www.sdmall.com/detail/00F5C6,"['80(2S)', '85(S)', '90(M)']"
스팀펑크 포인트 블랙,22000,56000,61,https://www.sdmall.com/detail/00F5C8,"['80(2S)', '85(S)']"
스팀펑크2 포인트 블랙,22000,57000,62,https://www.sdmall.com/detail/00F5C5,"['80(2S)', '85(S)', '90(M)', '95(L)']"
워터멜론 하이엔드 블루,17800,46000,62,https://www.sdmall.com/detail/00F5BC,"['80(2S)', '95(L)', '100(XL)']"
스케일리2 하이엔드 블루믹스,17800,46000,62,https://www.sdmall.com/detail/00F5C2,"['80(2S)', '85(S)', '90(M)', '95(L)', '100(XL)']"
티제이,22000,57000,62,https://www.sdmall.com/detail/00F5EC,"['80(2S)', '85(S)', '90(M)', '95(L)', '100(XL)']"
티제이,22000,57000,62,https://www.sdmall.com/detail/00F5EB,"['80(2S)', '85(S)', '90(M)', '95(L)', '100(XL)', '105(2XL)']"
티제이,17800,44000,60,https://www.sdmall.com/detail/00F5EF,"['80(2S)', '95(L)', '100(XL)']"
티제이,17800,44000,60,https://www.sdmall.com/detail/00F5F1,['100(XL)']
티제이,22000,62000,65,https://www.sdmall.com/detail/00F5F3,['80(2S)']
티제이,22000,57000,62,https://www.sdmall.com/detail/00F5E7,"['90(M)', '95(L)', '100(XL)']"
티제이,22000,57000,62,https://www.sdmall.com/detail/00F5EA,[]
티제이 여자수영복 JB5WFO0270,22000,57000,62,https://www.sdmall.com/detail/00F5CC,['80(S)']
티제이,17800,44000,60,https://www.sdmall.com/detail/00F5ED,"['80(2S)', '90(M)', '95(L)', '100(XL)']"
